É”,deep,void ratio,water content,X,Y,UU,CU,CUBar,CD
35.9,7.225,26.7,0.748,-122.4698563,-114.9771347,0,0,0,1
35.3,10.7,48.9,1.377,77.65274811,-9.2609272,0,0,0,1
33,3.225,23.2,0.938,-122.4698563,-114.9771347,0,0,0,1
0,6.95,30,0.783,-122.4698563,-114.9771347,1,0,0,0
34.6,10.375,30.5,0.954,-122.4698563,-114.9771347,0,0,0,1
38.6,14.575,25.3,0.825,-122.4698563,-114.9771347,0,0,0,1
0,18.65,51.6,1.369,77.65274811,-9.2609272,1,0,0,0
0,21.7,64.3,1.727,77.65274811,-9.2609272,1,0,0,0
0,25.4,62.4,1.615,77.65274811,-9.2609272,1,0,0,0
0,33.425,46.3,1.258,77.65274811,-9.2609272,1,0,0,0
32.7,0.725,10,0.68,-122.4698563,-114.9771347,0,0,0,1
37.2,7.25,14.7,0.59,-122.4698563,-114.9771347,0,0,0,1
2,21.4,63.6,1.718,77.65274811,-9.2609272,1,0,0,0
2.1,41.35,72.7,1.914,77.65274811,-9.2609272,1,0,0,0
37,7.6,33.4,0.944,-122.4698563,-114.9771347,0,0,0,1
33.9,2.25,9.4,0.612,-75.6231308,38.1353569,0,0,0,1
40.7,7.175,16.4,0.62,-122.4698563,-114.9771347,0,0,0,1
36.9,7.5,27.4,0.801,-122.4698563,-114.9771347,0,0,0,1
37.6,6.4,30.1,0.931,-122.4698563,-114.9771347,0,0,0,1
20.3,4.4,30.8,0.965,-122.4698563,-114.9771347,1,0,0,0
40.2,24.4,27,0.844,-122.4698563,-114.9771347,1,0,0,0
26.7,28.3,23.7,0.726,-122.4698563,-114.9771347,1,0,0,0
31,2,17.8,0.585,-122.4698563,-114.9771347,0,0,0,1
34.3,1.5,20,0.764,-122.4698563,-114.9771347,0,0,0,1
37.1,4,14.3,0.672,-122.4698563,-114.9771347,0,0,0,1
32.9,8,30.6,0.942,-122.4698563,-114.9771347,0,0,0,1
38.7,12,26.5,0.831,-122.4698563,-114.9771347,0,0,0,1
0,17.825,48.7,1.306,77.65274811,-9.2609272,1,0,0,0
0,22.5,62.5,1.678,77.65274811,-9.2609272,1,0,0,0
0,26.65,35.8,1.009,77.65274811,-9.2609272,1,0,0,0
0,34.5,28.6,0.746,77.65274811,-9.2609272,1,0,0,0
37.1,2.25,10.6,0.662,-122.4698563,-114.9771347,0,0,0,1
34.8,7.7,19.7,0.652,-122.4698563,-114.9771347,0,0,0,1
35.4,20.4,25.5,0.736,-122.4698563,-114.9771347,0,0,0,1
27.5,2,5.8,0.815,-122.4698563,-114.9771347,0,0,0,1
31.9,7,37.4,1.056,-122.4698563,-114.9771347,0,0,0,1
0,50.25,38.6,1.031,77.65274811,-9.2609272,1,0,0,0
0,59.25,43,1.168,77.65274811,-9.2609272,1,0,0,0
0,88.975,54.8,1.483,77.65274811,-9.2609272,1,0,0,0
0,43.8,48.9,1.337,77.65274811,-9.2609272,1,0,0,0
0,34.325,43.1,1.147,77.65274811,-9.2609272,1,0,0,0
0,13.325,68.7,1.834,77.65274811,-9.2609272,1,0,0,0
0,44.5,42,1.129,77.65274811,-9.2609272,1,0,0,0
0,47.5,50.4,1.343,77.65274811,-9.2609272,1,0,0,0
0,80.5,27.7,0.737,77.65274811,-9.2609272,1,0,0,0
0,85.4,31,0.837,77.65274811,-9.2609272,1,0,0,0
0,32.1,59.2,1.596,77.65274811,-9.2609272,1,0,0,0
0,33.65,42.4,1.131,77.65274811,-9.2609272,1,0,0,0
0,35.6,47.2,1.254,77.65274811,-9.2609272,1,0,0,0
0,53.4,63,1.676,77.65274811,-9.2609272,1,0,0,0
0,56.375,41,1.089,77.65274811,-9.2609272,1,0,0,0
37.1,2.85,16.9,0.966,-122.4698563,-114.9771347,0,0,0,1
36.5,6.9,24.1,0.71,-122.4698563,-114.9771347,0,0,0,1
36.6,9.9,21,0.692,-122.4698563,-114.9771347,0,0,0,1
36.1,13,34.9,0.933,-122.4698563,-114.9771347,0,0,0,1
0,17.9,48.5,1.363,77.65274811,-9.2609272,1,0,0,0
0,22.9,65.9,1.814,77.65274811,-9.2609272,1,0,0,0
0,26.4,51.4,1.408,77.65274811,-9.2609272,1,0,0,0
0,30.45,42.8,1.174,77.65274811,-9.2609272,1,0,0,0
32.5,9.475,38.3,1.171,77.65274811,-9.2609272,0,0,0,1
36.2,11.1,27.5,0.976,-122.4698563,-114.9771347,0,0,0,1
37.7,12.475,41.5,1.21,-122.4698563,-114.9771347,0,0,0,1
36.6,14.005,45.4,1.266,-122.4698563,-114.9771347,0,0,0,1
16.9,17.425,57,1.534,77.65274811,-9.2609272,0,1,0,0
17.4,22.4,65.6,1.793,77.65274811,-9.2609272,0,1,0,0
16.6,31.4,51.6,1.364,77.65274811,-9.2609272,0,1,0,0
16.9,42.45,77.4,2.055,77.65274811,-9.2609272,0,1,0,0
16.8,46.45,49.4,1.331,77.65274811,-9.2609272,0,1,0,0
30.3,51.125,30.2,0.812,30.23841476,-162.0327454,0,0,0,1
0,31.5,48.8,1.321,77.65274811,-9.2609272,1,0,0,0
0,19.3,59.2,1.635,77.65274811,-9.2609272,1,0,0,0
0,51.4,64,1.69,77.65274811,-9.2609272,1,0,0,0
0,82.45,45.3,1.217,77.65274811,-9.2609272,1,0,0,0
0,96.45,40.6,1.094,77.65274811,-9.2609272,1,0,0,0
1.6,38.4,66.5,1.794,77.65274811,-9.2609272,1,0,0,0
